time,input_voltage,el_power
810.07,10.0,1228.79172023015
811.07,10.0,1223.04174518756
812.07,10.0,1244.96086584765
813.07,10.0,1229.259057673
814.07,10.0,1248.11702383749
815.07,10.0,1262.97440343992
816.06,10.0,1248.07756026491
817.06,10.0,1245.10147565181
818.06,10.0,1275.36554202823
819.06,10.0,1263.10120975944
820.06,10.0,1263.1359607467
821.06,10.0,1285.34917982739
822.06,10.0,1294.47793816938
823.06,10.0,1280.09676206696
824.06,10.0,1292.69365750048
825.06,10.0,1286.45899460164
826.06,10.0,1310.95757103911
827.05,10.0,1290.56013585541
828.05,10.0,1315.23676815035
829.05,10.0,1302.43505295009
830.05,10.0,1319.64517850164
831.05,10.0,1302.04647998762
832.05,10.0,1336.80359372363
833.05,10.0,1321.66107462363
834.05,10.0,1323.4972365213
835.05,10.0,1342.72898449647
836.05,10.0,1349.45962762754
837.05,10.0,1330.78013998277
838.05,10.0,1362.21677467969
839.04,10.0,1347.4065009595
840.04,10.0,1362.56991090608
841.04,10.0,1348.38109996351
842.04,10.0,1377.60070351056
843.04,10.0,1365.30768377761
844.04,10.0,1366.74673212554
845.04,10.0,1386.72980941644
846.04,10.0,1397.53476489183
847.04,10.0,1385.19217843472
848.04,10.0,1403.27004052024
849.04,10.0,1423.42695286311
850.03,10.0,1405.34469211398
851.03,10.0,1423.76026026634
852.03,10.0,1411.62992726565
853.03,10.0,1437.98211553092
854.03,10.0,1426.22581227096
855.03,10.0,1444.56758329025
856.03,10.0,1457.34988261764
857.03,10.0,1442.31963049028
858.03,10.0,1458.11057120232
859.03,10.0,1456.66566688506
860.03,10.0,1477.27759866957
861.02,10.0,1462.9120326072
862.02,10.0,1486.56523302385
863.02,10.0,1474.30662479458
864.02,10.0,1494.21316769369
865.02,10.0,1481.83035071352
866.02,10.0,1510.22255803863
867.02,10.0,1489.92099836653
868.02,10.0,1504.34605326814
869.02,10.0,1498.54807316304
870.02,10.0,1524.67003371677
871.02,10.0,1507.91113808222
872.01,10.0,1535.73117836274
873.01,10.0,1519.78426683332
