time,input_voltage,el_power,input_voltage_ex_20.csv,el_power_ex_20.csv,input_voltage_ex_21.csv,el_power_ex_21.csv,input_voltage_ex_24.csv,el_power_ex_24.csv,input_voltage_ex_9.csv,el_power_ex_9.csv,input_voltage_ex_23.csv,el_power_ex_23.csv
810.0,,,,,,,,,,,3.0,1102.94969345076
811.0,,,,,,,,,,,3.0,1103.3526905947338
812.0,,,,,,,,,,,3.0,1103.7556877387078
813.0,,,,,,,,,,,3.0,1104.1586848826817
814.0,,,,,,,,,,,3.0,1104.5616820266557
815.0,,,,,,,,,,,3.0,1104.9646791706296
816.0,,,,,,,,,,,3.0,1105.3676763146034
817.0,,,,,,,,,,,3.0,1105.7706734585774
818.0,,,,,,,,,,,3.0,1106.1736706025513
819.0,,,,,,,,,,,3.0,1106.5766677465253
820.0,,,,,,,,,,,3.0,1106.9796648904992
821.0,,,,,,,,,,,3.0,1107.382662034473
822.0,,,,,,,,,,,3.0,1107.785659178447
823.0,,,,,,,,,,,3.0,1108.188656322421
824.0,,,,,,,,,,,3.0,1108.5916534663947
825.0,,,,,,,,,,,3.0,1108.9946506103688
826.0,,,,,,,,,,,3.0,1109.3976477543426
827.0,,,,,,,,,,,3.0,1109.8006448983167
828.0,,,,,,,,,,,3.0,1110.2036420422905
829.0,,,,,,,,,,,3.0,1110.6066391862644
830.0,,,,,,,,,,,3.0,1111.0096363302384
831.0,,,,,,,,,,,3.0,1111.4126334742123
832.0,,,,,,,,,,,3.0,1111.8156306181863
833.0,,,,,,,,,,,3.0,1112.2186277621602
834.0,,,,,,,,,,,3.0,1112.621624906134
835.0,,,,,,,,,,,3.0,1113.024622050108
836.0,,,,,,,,,,,3.0,1113.427619194082
837.0,,,,,,,,,,,3.0,1113.830616338056
838.0,,,,,,,,,,,3.0,1114.2336134820298
839.0,,,,,,,,,,,3.0,1114.6366106260036
840.0,,,,,,,,,,,3.0,1115.0396077699777
841.0,,,,,,,,,,,3.0,1115.4426049139515
842.0,,,,,,,,,,,3.0,1115.8456020579256
843.0,,,,,,,,,,,3.0,1116.2485992018994
844.0,,,,,,,,,,,3.0,1116.6515963458733
845.0,,,,,,,,,,,3.0,1117.0545934898473
846.0,,,,,,,,,,,3.0,1117.4575906338212
847.0,,,,,,,,,,,3.0,1117.8605877777952
848.0,,,,,,,,,,,3.0,1118.263584921769
849.0,,,,,,,,,,,3.0,1118.666582065743
850.0,,,,,,,,,,,3.0,1119.069579209717
851.0,,,,,,,,,,,3.0,1119.4725763536908
852.0,,,,,,,,,,,3.0,1119.8755734976646
853.0,,,,,,,,,,,3.0,1120.2785706416387
854.0,,,,,,,,,,,3.0,1120.6815677856125
855.0,,,,,,,,,,,3.0,1121.0845649295866
856.0,,,,,,,,,,,3.0,1121.4875620735604
857.0,,,,,,,,,,,3.0,1121.8905592175342
858.0,,,,,,,,,,,3.0,1122.2935563615083
859.0,,,,,,,,,,,3.0,1122.6965535054821
860.0,,,,,,,,,,,3.0,1123.0995506494562
861.0,,,,,,,,,,,3.0,1123.50254779343
862.0,,,,,,,,,,,3.0,1123.6646187744436
863.0,,,,,,,,,,,3.0,1123.8266897554574
864.0,,,,,,,,,,,3.0,1123.988760736471
865.0,,,,,,,,,,,3.0,1124.1508317174848
866.0,,,,,,,,,,,3.0,1124.3129026984984
867.0,,,,,,,,,,,3.0,1124.4749736795122
868.0,,,,,,,,,,,3.0,1124.6370446605258
869.0,,,,,,,,,,,3.0,1124.7991156415396
870.0,,,,,,,,,,,3.0,1124.9611866225532
871.0,,,,,,,3.0,1140.44312720526,,,3.0,1125.1232576035668
872.0,,,,,,,3.0,1231.29739526659,,,3.0,1125.2853285845806
873.0,,,,,,,3.0,1149.45710726439,,,3.0,1125.4473995655942
